author_id,username,followers,tweet_id,label,lable_followers,score,object_type,created,active_type,score_current_time
801246156340740096,andrewhong5297,19589,1706509805240688677,Dune,201513,80,user,1695698617000,comment,80.0
801246156340740096,andrewhong5297,19589,1706509805240688677,buffalu__,32544,30,user,1695698617000,comment,30.0
4917456893,anonchained,86245,1903169039888957628,Claynosaurz,76915,-50,user,1742585832000,comment,-50.0
4917456893,anonchained,86245,1903169039888957628,MadLads,99280,-40,user,1742585832000,comment,-40.0
4917456893,anonchained,86245,1903169039888957628,aeyakovenko,561205,-80,user,1742585832000,comment,-80.0
4917456893,anonchained,86245,1903585680057422060,aeyakovenko,561205,-90,user,1742685167000,comment,-85.0
4917456893,anonchained,86245,1903169039888957628,pudgypenguins,652558,-50,user,1742585832000,comment,-50.0
4917456893,anonchained,86245,1903169039888957628,solana,3335964,-60,user,1742585832000,comment,-60.0
4917456893,anonchained,86245,1903169039888957628,tensor_hq,143068,-40,user,1742585832000,comment,-40.0
1548728936770654209,ansh_web3,2142,1902981517850431588,Crypto_bn,31532,60,user,1742541124000,comment,60.0
1548728936770654209,ansh_web3,2142,1902981517850431588,cz_binance,9992682,70,user,1742541124000,comment,70.0
115228746,aut0m8d,3587,1890532871657394492,Lebronfan237303,2016,30,user,1739573135000,comment,30.0
1046811588752285699,ayyyeandy,61800,1895515834535329979,Austin_Federa,145667,60,user,1740761166000,comment,60.0
1645228063595327488,b66ny,16218,1728983473854308556,edwardNFTrich,9221,-30,user,1701056757000,comment,-30.0
1396641989928554496,badbearsio,20717,1871538185270157504,scottybmitch,14430,-30,user,1735044449000,comment,-30.0
1396641989928554496,badbearsio,20717,1871538185270157504,tolibear_,24392,-20,user,1735044449000,comment,-20.0
1864452692221022210,bankrbot,40286,1876159394360254481,0xDeployer,13781,70,user,1736146231000,comment,70.0
1864452692221022210,bankrbot,40286,1898106472975991127,0xDeployer,13781,70,user,1741378822000,comment,70.0
1864452692221022210,bankrbot,40286,1902870360233742633,0xDeployer,13781,70,user,1742514622000,comment,70.0
1864452692221022210,bankrbot,40286,1898106472975991127,0xgaut,148174,60,user,1741378822000,comment,60.0
1864452692221022210,bankrbot,40286,1898106472975991127,AerodromeFi,99930,60,user,1741378822000,comment,60.0
1864452692221022210,bankrbot,40286,1898639372121186600,PaddyWarburton,10952,80,user,1741505875000,comment,80.0
1864452692221022210,bankrbot,40286,1902870360233742633,WakaFlocka,1815322,80,user,1742514622000,comment,80.0
1864452692221022210,bankrbot,40286,1876159394360254481,_ilmoi,28418,70,user,1736146231000,comment,70.0
1864452692221022210,bankrbot,40286,1890302259508248877,aixbt_agent,460141,75,user,1739518153000,comment,75.0
1864452692221022210,bankrbot,40286,1898106472975991127,base,930402,60,user,1741378822000,comment,60.0
1864452692221022210,bankrbot,40286,1898639372121186600,cometcalls,86596,60,user,1741505875000,comment,60.0
1864452692221022210,bankrbot,40286,1898106472975991127,universaldotxyz,8632,60,user,1741378822000,comment,60.0
1446541960181858315,based16z,87480,1860621972238983206,Pool2Paulie,27239,-30,user,1732441821000,comment,-30.0
1446541960181858315,based16z,87480,1860621972238983206,blknoiz06,706493,60,user,1732441821000,comment,60.0
1249193324461916161,basedkarbon,81618,1848138516334608769,MoonOverlord,301696,60,user,1729465533000,comment,60.0
1351139954525696005,beaniemaxi,225601,1883592429808566653,blknoiz06,706493,-20,user,1737918405000,comment,-20.0
1351139954525696005,beaniemaxi,225601,1883592429808566653,wallet,2084199,-50,user,1737918405000,comment,-50.0
1541671491099455489,bearish_af,73132,1885006314348106000,TrEbLeNoBaSs,8975,-50,user,1738255501000,comment,-50.0
217940052,bellaTLopez,20918,1889501879518024092,stoolpresidente,3677818,0,user,1739327327000,comment,0.0
1100932506193260544,benbybit,270358,1893878041170096451,jespow,220705,-30,user,1740370686000,comment,-30.0
903437147134455810,binji_x,26035,1697437037643632744,DeFi_Wonderland,10962,100,user,1693535501000,comment,100.0
903437147134455810,binji_x,26035,1697437037643632744,adamscochran,223873,100,user,1693535501000,comment,100.0
973261472,blknoiz06,706493,1842628682243817551,CryptoParadyme,68565,-30,user,1728151886000,comment,-30.0
973261472,blknoiz06,706493,1788652082695663891,Evan_ss6,56246,40,user,1715282862000,comment,40.0
973261472,blknoiz06,706493,1788567804662202541,HobbesOnSolana,7210,30,user,1715262769000,comment,30.0
973261472,blknoiz06,706493,1788652082695663891,HobbesOnSolana,7210,50,user,1715282862000,comment,40.0
973261472,blknoiz06,706493,1789462869693595995,HobbesOnSolana,7210,40,user,1715476169000,comment,40.0
